Sample_DeskTF,Sample_Door,TSI_0.3_Desk,TSI_1_Desk,TSI_2.5_Desk,TSI_3_Desk,TSI_5_Desk,TSI_10_Desk,TSI_0.3_door,TSI_1_door,TSI_2.5_door,TSI_3_door,TSI_5_door,TSI_10_door,Notes,ACH,Ct_TF_Desk,Ct_TF_door,Ct_DIFF,TSI_0.3_DIFF,TSI_1_DIFF,TSI_2.5_DIFF,TSI_3_DIFF
H289,H290,13099.754098360656,608.4262295081967,36.26229508196721,51.459016393442624,27.80327868852459,11.262295081967213,12936.459016393443,497.9836065573771,29.540983606557376,41.721311475409834,27.18032786885246,8.491803278688524,Standing,0,29.05,30.45,-1.3999999999999986,163.29508196721326,110.44262295081961,6.721311475409834,9.73770491803279
H301,H302,14218.466666666667,1317.9333333333334,95.6,135.6,80.46666666666667,12.266666666666667,15121.066666666668,1056.6666666666667,77.86666666666666,113.86666666666666,67.73333333333333,11.333333333333334,Sitting-quitely,0,31.950000000000003,34.25,-2.299999999999997,-902.6000000000004,261.26666666666665,17.733333333333334,21.733333333333334
H312,H313,14671.933333333332,1449.0666666666666,111.13333333333334,157.8,82.66666666666667,13.2,14381.733333333334,1183.0666666666666,88.06666666666666,130.8,75.6,11.733333333333333,Sitting-speaking,0,31.5,32.3,-0.7999999999999972,290.1999999999989,266,23.066666666666677,27
H335,H336,11713.683333333332,570.8666666666667,43.6,62.21666666666667,30.65,7.85,11711.483333333334,454.93333333333334,32.61666666666667,46.766666666666666,27.966666666666665,6.433333333333334,Sitting,0,29.85,30,-0.14999999999999858,2.1999999999989086,115.93333333333334,10.983333333333334,15.450000000000003
H348,H349,4950.4,247.6,20,28,17.8,6,4950.4,247.6,20,28,17.8,6,Speaktest,0,32.800000000000004,40,-7.199999999999996,0,0,0,0
H424,H425,12558,374,9,17,6,4,10710,308,17,24,21,8,Coughtest,0,40,30.75,9.25,1848,66,-8,-7
H428,H429,17307.6,427.2,18.6,25,17,6.4,16641.8,515.4,38,60.8,50.4,14.4,Speaktest,0,40,40,0,665.7999999999993,-88.19999999999999,-19.4,-35.8
H445,H446,15160.933333333332,618.5166666666667,36.666666666666664,55.31666666666667,29.466666666666665,9.666666666666666,15137.483333333334,437.93333333333334,26.5,38.5,24.583333333333332,9.8,Sitting,0,29.7,40,-10.3,23.44999999999891,180.58333333333331,10.166666666666664,16.81666666666667
H456,H457,8950.033333333333,281.3333333333333,18.933333333333334,27.5,16.966666666666665,7.466666666666667,9170.066666666668,240.26666666666668,16.166666666666668,26.366666666666667,17.6,6.966666666666667,Sitting-speaking,0,40,31.35,8.649999999999999,-220.03333333333467,41.066666666666634,2.7666666666666657,1.1333333333333329
H468,H469,7601.492307692308,256.9846153846154,12.353846153846154,15.8,9.184615384615384,3.8923076923076922,7434.7692307692305,218.44615384615383,10.646153846153846,15.8,10.138461538461538,4.092307692307692,Dehumidification,0,29.85,30.133333333333336,-0.283333333333335,166.72307692307731,38.53846153846155,1.7076923076923087,0
H479,H480,6828.716666666666,139.21666666666667,6.633333333333334,8.983333333333333,6.15,2.783333333333333,6654.466666666666,123.06666666666666,6.5,9.783333333333333,6.333333333333333,2.85,Dehumidification,0,31.15,32.599999999999994,-1.4499999999999957,174.25,16.150000000000006,0.13333333333333375,-0.8000000000000007
H491,H492,8050.517857142857,193.30357142857142,11.035714285714286,15.25,8.857142857142858,2.4464285714285716,7741.589285714285,157.625,9.732142857142858,13.571428571428571,9.035714285714286,2.5357142857142856,Humidification,0,30.333333333333332,40,-9.666666666666668,308.92857142857156,35.678571428571416,1.3035714285714288,1.6785714285714288
H503,H504,13303.835820895523,442.3880597014925,22.70149253731343,29.62686567164179,15.253731343283581,3.9402985074626864,13595.074626865671,609.5373134328358,41.73134328358209,59.16417910447761,36.134328358208954,6.985074626865671,Humidification,0,40,31.3,8.7,-291.23880597014795,-167.14925373134332,-19.02985074626866,-29.53731343283582
H509,H510,25137,726,62,136,75,16,24626,924,107,233,192,47,Coughtest,0,40,40,0,511,-198,-45,-97
H513,H514,15610.6,552.8,57,114,72.2,27.2,15882.8,676.6,78.4,126.4,103.4,34.6,Speaktest,0,40,40,0,-272.1999999999989,-123.80000000000007,-21.400000000000006,-12.400000000000006
H530,H531,9833.516666666666,483.75,44.666666666666664,70.76666666666667,40.31666666666667,9.483333333333333,9709.283333333333,449.3,39.38333333333333,60.833333333333336,39.53333333333333,9.4,Sitting,0,40,40,0,124.23333333333358,34.44999999999999,5.283333333333331,9.93333333333333
H541,H543,8428.564516129032,368.01612903225805,47.37096774193548,85.8225806451613,64.98387096774194,24.241935483870968,8587.90322580645,343.30645161290323,41.79032258064516,74.04838709677419,61.016129032258064,21.370967741935484,Standing,0,40,40,0,-159.3387096774186,24.70967741935482,5.58064516129032,11.774193548387103
H553,H554,7505.5675675675675,727.6216216216217,75.37837837837837,122.21621621621621,71.97297297297297,17.43243243243243,7537.756756756757,741.5945945945946,80.21621621621621,135.32432432432432,120.67567567567568,32.24324324324324,Sitting-quitely,0,40,40,0,-32.189189189189165,-13.972972972972912,-4.837837837837839,-13.108108108108112
